platform,komentar,timestamp,sentimen
instagram,"Baru kali ini guru dihujat beneran kemaren kemaren murit dan orang tua mencoba berkali2 menghujat dengan cara yg viral anak dipukul lah anak dihukum lah  tapi tak berhasil , kali ini kena hujat se-Indonesia beneran ...",2025-02-07T00:29:00.000Z,positif
instagram,kakekan tiktok an,2025-04-18T03:46:47.000Z,positif
twitter,"wlpn memang guru ku itu pakai motor ya tpi pasti butuh bensin kan tiap hari nya, dengan gaji yang pas pasan tpi kebutuhannya yang banyak itu, bener bener menyebalkan gimna pemerintah yang harusnya bisa mensejahterakan setiap rakyat, justru lalai dan gak bisa ngelakuin apa apa",2025-05-02T04:47:03.000Z,positif
twitter,"Bukan tugas guru pak, tugas orang tua  anak problematik lahir dari orang tua yg abai dan lalai, kereut ceuli aing lamun teu kieu. Sekolah tuh bukan gak sanggup ngadepin anak, tapi gak sanggup ngadepin orang tuanya. Jadi, kalo mau masukin anak ke barak masukin juga orang tuanya.",2025-05-01T03:02:40.000Z,positif
twitter,"""kata bu guru gak boleh lalai sama hak orang lain""

- Jin",2025-04-25T23:28:18.000Z,positif
twitter,"datengin gurunya, laporin dan minta ketemu sm orgtuanya. kalau orgtuanya bilang ga mungkin kek atau namanya jg anak kecil, ajak berantem aja udah. tegur jg gurunya, masa bisa lepas dr pengawasan? anak TK itu rata2 1 guru 5 anak, masa lalai?",2025-04-24T11:59:52.000Z,positif
twitter,eh kasus sekolah mana ya yg rame guru lalai daftarin pdss ntu... smpe siswanya demo,2025-04-24T11:32:01.000Z,positif
twitter,maaf telah lalai menjadi guru teladan,2025-04-22T05:56:41.000Z,positif
twitter,SHAP PAK GURU MAAF SAYA LALAI BERMAIN RP,2025-04-18T14:41:30.000Z,positif
twitter,"“Kadang-kadang keinginan kita mendapatkan sesuatu sedemikian besarnya, hingga kita lalai terhadap Sang Pemilik segala sesuatu yang Maha berkehendak.”

Gus Mus
@dawuhguru",2025-04-06T09:50:51.000Z,positif
twitter,"yahaha satu tugas aja lalai, ini sok sok mau dwifungsi? 

ya berarti bikin ruu kesejahteraan guru, bukan ruu tai
#GagalkanRUUTNI
#CabutRUUTNI
#PeringatanDarurat
#IndonesiaGelap
#TolakRUUTNI
#TolakRevisiUUTNI
#PeringatanDarurat
#IndonesiaGelap 
#TolakDwifungsiABRI 
#SupremasiSipil",2025-03-23T05:43:12.000Z,positif
twitter,"Dan pemerintah yang lalai menyediakan sarana prasarana yang layak untuk guru, murid, dan masyarakat yg menggunakan jalan",2025-03-22T21:53:07.000Z,positif
twitter,"guys nambah… keinget lg tb2… (sama dibantu diingetin sm org2 di reply, pls feel free buat tambahin lg kalo ada yang kurang)

- sertifikat ganda
- minyak goreng di oplos
- beras 5kg ga sesuai takaran
- pelantikan ASN ditunda
- guru lalai murid2 gabisa daftar snbp

(bonus news:",2025-03-20T11:12:54.000Z,netral
twitter,guru lalai berimbas ke murid ga bisa daftar snbp,2025-03-20T08:00:12.000Z,positif
twitter,Komisi X DPR RI : Soroti Ratusan Siswa Gagal SNBP Akibat Guru Lalai - TVR 120,2025-03-19T02:36:51.000Z,netral
twitter,"Kalo uda 2024 ke sini adanya tubel, gada izin belajar. 

Dahlah urus aja usul pencantuman gelar S2 nya dengan tanpa izin belajar. Bikin lembar kronologis seperti keterangan Anda di atas. Ttd ybs, atasan langsung, dan dua orang saksi. Bwat jaga jaga kalo pns ybs dianggap lalai.",2025-03-18T09:58:29.000Z,positif
twitter,"Guru sy pernah cerita ttg hal ini (dlm fiqih imam Syafi'i)

Jd shalat qadha 5 waktu diniatkan utk mengganti shalat2 yg pernah terlalai dulu. Jumlahnya kira2 dan seyakin kita. 

Misalkan kt pernah lalai 1 tahun, berarti dikalikan saja sehari 5×. Dicicil semampunya.",2025-03-16T15:21:05.000Z,netral
twitter,"Dulu dibilang kalau hafalan tajwid harus sempurna kalau gk dosa, hafalan harus di ikat kalau lalai masuk neraka, jalan dpn guru harus nyeret, jd imam kalau tajwidny salah dosa makmum ke imam semua jd takut klo disuruh jd imam -",2025-03-16T06:52:59.000Z,positif
twitter,"Simpatika itu bukan manusia
Guru madrasah lalai atau Alfa tiga hari, honornya zonk

Sungguh nggak punya toleransi

#simpatika
#kemenag
#gurumadrasah",2025-03-15T01:06:12.000Z,positif
twitter,Guru besar lalai buat kerja ni...,2025-03-15T00:21:08.000Z,positif
twitter,"K3banhakan guru lps tanggung jawab bro, contohnya kasus siswa tenggelam di parangtritis gurunya lalai. Lbh baik study tour tdk ke tempat2 yg berbahaya bg keselamatan siswa.",2025-03-14T05:57:25.000Z,positif
twitter,"Pemerintah bisa gak sih bikin gaji guru minimal UMR? 
Buat mobil pejabat bisa ratusan juta sampai milyaran tapi gaji guru 300 rb? 
Bukti negara lalai, pejabat rakus & gak tau diri.",2025-03-08T14:10:57.000Z,positif
twitter,"Gak cuma ini sih ka, mungkin khawatir mereka lalai melakukan ibadah krn keasikan dengerin musik ka. Kalo kata guru ngaji aku sih begitu",2025-02-24T03:11:41.000Z,positif
twitter,"Cc. 
@Abe_Mukti
 @humas_jogja
 Mohon atensinya, pihak sekolah dan guru pembimbing lalai. Ngga usah nunggu pelajar di atas truk jatuh & meninggal, investigasi dan beri sanksi pada guru & sekolah.",2025-02-23T11:40:21.000Z,positif
twitter,"Memang apa aturannya?
Guri tidak boleh berkarya di bidang lain?
Itu guru guru yg lalai input data sehingga habisa ikut snbp bagaiman?
Guru guru yg buka les lesan gimana?
Berkarya di bidang lain kok dibilang ga mengikuti aturan",2025-02-23T11:18:11.000Z,positif
twitter,"Usut tuntas guru penanggung jawabnya , koq bisa-bisanya abai dan lalai, padahal sebelum pentas ada proses latihan dan persiapan, jadi seharusnya bisa diawasi, diingatkan dan di antisipasi sejak awal ",2025-02-23T10:08:57.000Z,positif
twitter,"Entahlah, harusnya sih gak kenapa"" ya karena masih bisa ikut sbmptn, kecuali kalo siswa nya nolak undangan snmptn, atau guru bk nya yang lalai ngurus administrasi",2025-02-23T04:52:49.000Z,positif
twitter,"Pemulihan Nama Baik TIDAK ADA. NEGARA SUDAH LALAI 
PEMBIARAN akan nasib pemecatan dari guru SD
@prabowo
 @gibran_tweet
 @setkabgoid
 @PolkamRI
 @ListyoSigitP
 @Divpropam
 @kompolnas_ri
 @poldajateng_
 @OmbudsmanRI137
 @KomnasHAM
 @DPR_RI
#KamiBersamaSukatani",2025-02-23T00:54:54.000Z,netral
twitter,"Guru nya lalai ga punya sense of responsibility, tarik udah ke penjara",2025-02-22T07:05:20.000Z,positif
twitter,"Perbasi pake acara intimidasi untuk take down vid dgn alasan pencemaram nama baik sungguh bangsat. Perbasi lalai dalam pembinaan, lalai memegang teguh pada prinsip kompetisi olahraga yaitu sportifitas. Guru olahraga atau coach nya juga bangsat",2025-02-21T03:19:19.000Z,positif
twitter,"terima kasih kepada semua master dan guru yang udah kerja keras di Rotasi. terima kasih juga kepada teman teman tim perlengkapan yang kerenn, tanpa bantuan kalian apalag aku ini. maaf kalau masih suka lalai  selamatt istirahaatt semoga ketemu lagi di rotasi tahun depan",2025-02-20T15:47:39.000Z,negatif
twitter,"Pertahankan itu, aku pernah dengar dari guru agamaku. Manusia dilahirkan kedunia dengan perjanjian.Walau masih banyak lalai. Aku juga banyak lalainya, apalagi kalo lagi kerja.ngebathin aja
Ya allah maaf terus maaf, kayak gak tenang gitu",2025-02-20T14:51:19.000Z,positif
twitter,"Lagi musim demo” siswa vs guru di sekolah. Yang viral” emang jelas perkaranya kyk korupsi, guru lalai. Tapi karena banyaknya berita” demo itu somehow jd spt influencing sekolah lain untuk demo juga OVER PERKARA KECIL. Ntah cuma ngancem doang buat demo atau apa tp kata gua ga bgt",2025-02-20T12:02:24.000Z,positif
twitter,Momen ini mungkin bisa dimanfaatkan untuk menyeleksi semua guru dan kepala sekolah. Mereka yg lalai dan mengakibatkan Siswa/Siswi ini gagal mengikuti SNBP sebaiknya diberi cap tidak layak pakai dan direkomendasikan untuk pensiun/dipecat.,2025-02-13T16:14:33.000Z,positif
twitter,"Negara lain mencetak para generasi muda menjadi ilmuan dan guru besar dimasa depan, indonesia sudah dikuasai 8 presiden masih saja rebutan kekuasaan sampai lalai kekayaan negara dikuasai asing. Bener apa kata gusdur ""BANGSA INI PENAKUT TIDAK MAU BERTINDAK KEPADA SALAH"".",2025-02-12T07:36:18.000Z,positif
twitter,tmn gw kasian deh gabisa ikut snbp grgr pas ngeinput pdss nama dia ga sengaja ke hapus... lalai bgt guru disekolah gw (yg ngelakuin bukan guru bk),2025-02-11T14:34:12.000Z,positif
twitter,tau ngga si yang guru lalai sampe anak muridnya ngga bisa ikut snbt? gurunya sampe di anjing anjingin gitu tau... do you think they deserve to be cursed at like that?,2025-02-10T11:51:43.000Z,positif
twitter,"- Tindak tegas sekolah dan atau guru yg lalai. Ga usah coba meredakan kekecewaan siswa dan org tua dengan ""udah takdir"" atau ""nanti ada hikmahnya"".

Yg harus dapet hikmahnya mah guru dan pemerintah supaya kerja baleg anying",2025-02-10T09:35:58.000Z,positif
twitter,"Harusnya bisa dibuat novel dark academia ala"" dengan promt ini, guru lalai imput data terus ternyata kecelakaan sampe akhirnya meninggal. Ada siswa enggak terima sampe dikejar ke 'alam lain' pake kekuatan black magic minta pertanggungjawaban",2025-02-10T07:45:49.000Z,positif
twitter,"ga ada hubungannya dengan program baru makan siang gratis

terlalu prematur anda membawa makan gratis ke etos kerja guru yg lalai",2025-02-10T06:55:53.000Z,positif
twitter,"guru yg lalai sistem yg di evaluasi, aneh juga",2025-02-10T05:05:38.000Z,positif
twitter,"Guru negeri lagi guru negeri lagi..
Gaji udah gede plus tunjangan masih aja malas..

Masih ada yg ngomong gaji dan tugas gk seimbang?
Coba cek gaji guru p3k plus tunjangannya aja udh wow.. masuk cuma sampe siang (tergantung sekolah)..

Udh enak msh aja lalai",2025-02-09T19:12:50.000Z,positif
twitter,"POTRET SISWA INDO VS SISWA CHINA
Memalukan banget
Tp gabisa jg nyalahin mrk aja Krn lihatlah...byk jg guru demen ber TIKTOKAN smpe ada yg lalai finalisasi data di PDSS smpe byk siswa eligible gagal ikut SNBP 
@Kemdikdasmen",2025-02-09T14:01:04.000Z,positif
twitter,"setuju banget kasih sanksi bukan evaluasi, guru lalai di evaluasi cuman buang waktu",2025-02-09T08:28:40.000Z,positif
twitter,"ga usah jauh jauh deh kak, liat tuh perawat, sama sama profesi kek guru tapi gajinya miris di bawah umr padahal kuliahnya mahal 11 12 sama kedokteran. terus perawat ga pernah sama sekali ninggalin jam kerja kaya guru, karena sekali kita lalai nyawa melayang",2025-02-09T07:11:35.000Z,positif
twitter,"1. ""Setiap permasalahan ...... penanggungjawab.""
Oke bener. Tapi penanggung jawabnya apakah gen z? Knp gen z dibawa dlm mslh ini?
2. Oke inti yg mau disampaiin ""Guru lalai ... sosmed."" Tau dari mana dia lalai krn sosmed? Pertanyaan sekali lagi. Kenapa gen z dibawa dlm mslh ini?",2025-02-09T06:35:33.000Z,positif
twitter,"mau nyalahin guru sekarang yg kesannya lalai ma tugasnya, disalahin sepenuhnya jg keknya gabisa krn guru sekarang dibikin sibuk input data ini-itu di web buat laporan ke dinas, pokoknya banyak yg kudu diinput, kek direpotin bgt ama dinas, gue liat ibu kek gtu aja udh capek.",2025-02-09T05:10:05.000Z,positif
twitter,Ini nih. Calon calon guru bk lalai yang telat daftarin nilai siswa jadi gabisa ikut snbp tapi pas diprotes malah tanya balik siapa yang menciptakan banjir alias GA MASOK BLAS UTEKKE.,2025-02-09T05:02:23.000Z,positif
twitter,"Kasih enak dikit langsung lalai,guru kocak",2025-02-09T04:20:14.000Z,negatif
twitter,"Beberapa Minggu lalu rame guru di pukulin murid. gak lama rame lagi guru lalai dalam memfasilitasi siswa untuk SNBP. Makin lama pendidikan formal via sekolah gak relevan lagi kalo kayak gini, karena output nya cuma Human eror antara guru dan murid.",2025-02-09T03:48:51.000Z,positif
twitter,Masak bisa gara gara guru lalai? Kalau di swasta kasus begini pasti minimal ada yang dipecat,2025-02-09T03:30:04.000Z,positif
twitter,"Kok bisa lalai ngapain aja, apa jgn2 asik2 indehoi sampe lupa sama kewajiban. Pecat aja guru model begini",2025-02-09T03:09:35.000Z,positif
twitter,tiap taun ada aja guru guru yg lalai sama snbp knp ya ga dijadiin pelajaran dr tahun ke tahun hadehh,2025-02-09T03:04:01.000Z,positif
twitter,"Stay in the topic please, guru lalai malah pembahasan jd merembet bawa kemana2.",2025-02-09T03:01:09.000Z,positif
twitter,"I feel it... Rasanya belajar dari kelas 1 dan berprestasi (ranking ga pernah kluar dari top 3, dan menang lomba²) sia² krn oknum guru yg lalai dgn tanggung jawabnya

Aku & temen2 gagal SNMPTN jalur undangan. Sedih, kesel, sakit hati rasanya kek dikhianati sekolah sendiri",2025-02-09T02:53:54.000Z,positif
twitter,yaAllah banyak bgt guru yg lalai perihal spmb ini. kasian muridnya cari kuliah susah juga lo,2025-02-09T02:18:00.000Z,positif
twitter,"Dari semua guru yang ada di Indonesia, cuma guru ini yang lalai akan tugasnya , dari dinas pendidikan sudah di kasih imbauan beberapa kali, ini emang lalai dari gurunya. Dan Lo seakan mengatakan bahwa di Indonesia minim guru ? Terus guru honorer gimana bro  yang berjuang.",2025-02-09T02:11:49.000Z,positif
twitter,"klo dari sudut pandang guru yg alhamdulillah ‘on time’ dan transparan dalam pengisian pdss siswa sebenernya ada beberapa hal yg mungkin jd penyebab knp guru di sekolah2 tsb bisa lalai, tapi nasi sudah jadi bubur masyarakat udh gak mau denger alasannya, wios guru anu lepat",2025-02-09T01:25:18.000Z,positif
twitter,"Kepala daerah dan dinas pendidikan ikut lalai dan perlu di tegur Kemendagri....

Pasalnya 
Dinas pendidikan selalu kordinasi dengan kepsek sedaerah

Lucu kesalahan ditangan guru,
Biasanya juga 
Kepala sekolah dan PKS paling bertanggung jawab dan operator",2025-02-09T01:08:29.000Z,positif
twitter,"HARUSNYA ADA YG BERANI MEMPIDANAKAN GURU DAN TENAGA KEPENDIDIKAN YG LALAI SEPERTI INI. KARENA MENGHAMBAT MASA DEPAN GENERASI. 
@KejaksaanRI
 @bpkri
 @KPK_RI
 AUDIT PEMAKAIAN DANA BOS NYA, TERMASUK PUNGUTAN YG LAIN. 
@SahabatPblingga
 @Jateng_Twit
 @humasjateng
 @jaksapedia
 @provjateng",2025-02-09T00:39:21.000Z,positif
twitter,"Ternyata sebanyak ini yg lalai..
Ini guru-gurunya sibuk ngonten semua apa ada alasan lain?",2025-02-09T00:36:29.000Z,positif
twitter,"Lalai isi data PDSS utk anak didiknya, tapi rajin posting di medsos.. ini guru-guru kok jadi kacau balau kelakuannya?.. ",2025-02-08T23:51:07.000Z,positif
twitter,"dari jaman gue masih sklh sampe skrg gak berubah, dulu gue jg sempet berharap kuliah jalur prestasi, tp karna satu guru yg katanya “lupa” alias lalai, jadi satu angkatan gagal, sampe skrg udah 4tahun lebih masih kaya gini aja guru2, heran..",2025-02-08T22:59:43.000Z,positif
twitter,"Kok lagi banyak sih kasus kaya gini , oknum guru nya kemana, lalai kah? Kasihan loh adek adek kita yang udah berjuang dari kelas 1-3 mempertahankan nilai , ikut lomba sana sini , kalian kemana oknum guru hey ???",2025-02-08T22:53:49.000Z,positif
twitter,"Kalau sampai lalai submit, patut dipertanyakan apakah mereka memang guru atau cuman pekerja yg dibayar untuk mengajar.",2025-02-08T12:34:30.000Z,positif
twitter,"Melihat guru"" lalai ini aku pengen jadi guru+admin sekolah, tapi ga kuat sama drama internal antar guru, bikin trauma.",2025-02-08T11:53:30.000Z,positif
twitter,"Bingung dengan banyaknya kisah guru dan kepsek LALAI  yg bikin murid2nya ga bisa ikut jalur undangan

Kenapa di tahun ini baru heboh?
Padahal orang2nya ga ada yg berubah kan harusnya?
Caranya juga tiap tahun sama.

Kenapa tahun ini inkompetensinya nular dari atas sampe bawah?",2025-02-08T10:49:45.000Z,positif
twitter,"Tauuu gua gaji guru ga banyakk, cuma ya resiko kerja buu ituu, semua pekerjaan beresiko, bahkan tukang es pun kalau lalai juga masalah buu",2025-02-08T10:29:33.000Z,positif
twitter,Kalo boomers bisanya apa tu om? Nyalahin banjir yak kayak guru boomers yang lalai masukin data siswa itu ya.,2025-02-08T10:05:22.000Z,positif
twitter,"guru bk nya itu kakaknya temen gw makanya gw tau bgt itu guru bk nya difitnah sama bu evi kontol

dan akhirnya guru bknya dipecat gara gara lalai input data sekolah padahal gw tau bgt yg tugasnya nginput itu BU EVI KONTOL BESERTA JAJARANNYA",2025-02-08T08:47:07.000Z,positif
twitter,"Harus ditelusuri lebih jauh akar masalahnya sih, apakah sistemnya yang salah? Man power guru yang kurang? Pemahaman guru nya yang kurang? Alasan lalai ini ga bisa ditoleransi, apalagi menyangkut masa depan anak bangsa. Harus ada perbaikan, harus ada yang resah dlm masalah ini",2025-02-08T08:41:36.000Z,positif
twitter,"pecatin aja itu guru"" lalai SNBP
ngentttt",2025-02-08T07:11:07.000Z,positif
twitter,"Ini kegagalan sekolah dan sistemnya.
Ini sudah masalah administrasi dan pelanggaran hukum perdata. Bukan lagi hubungan guru-murid, tapi ttg administrasi sekolah yg lalai kepada hak2 peserta didik.
Karna lewat jalur lainpun belum tentu mereka bisa lolos keterima PT yg diminati.",2025-02-08T06:39:50.000Z,positif
twitter,"Saudara saya yang pekerjaan guru tiap update status wa cuma pada makan rame2, ngerujak terus tiktokan wkwkkwkekw. Mungkin itu penyebab jadi lalai",2025-02-08T03:59:15.000Z,positif
twitter,"BACA!!! JANGAN DIABAIKAN.

Guru punya tanggung jawab. Pas sekolah mereka mengiming-iming snmptn agar siswa/siswi semangat. Giliran nilainya bagus, mereka lalai. Tau gak kalau beberapa orang ngincer snmptn karena pengen sekolah tanpa banyak biaya (gak memberatkan ortu)",2025-02-08T03:56:42.000Z,positif
twitter,"MINIMAL MIKIR. 3 tahun sekolah biar nilai bagus dengan harapan bisa masuk lewat jalur snm malah karena guru LALAI jadi imbasnya ke murid gak bisa daftar. Dipikir gw dulu cm pasrah apa ya. Test sbm 2 kali, ketolak. Daftar mandiri sampe 3 kali di kampus yang berbeda ",2025-02-08T03:47:41.000Z,positif
twitter,"Guru yg waras juga bakal kontra kok sama guru yang lalai itu. Mereka paham betul itu hak siswa, dan ngga bisa diremehkan meski ada jalur seleksi lain. Guru yg dulu masuk kuliahnya pakai seleksi nilai SMA ini juga banyak, jadi lebih tahu rasanya jadi siswa tsb",2025-02-08T03:45:38.000Z,negatif
twitter,"gw emosi ngeliat anak"" sma yg ga berkesempatan masuk snbp karena guru nya yg lalai, itu guru"" klo ga biayain murid""nya buat les snbt buat gantiin kebangetan sih",2025-02-08T03:40:29.000Z,positif
twitter,"Klo dpikir2 sptnya ad yg salah dg sistemnya. Bnyak sekolah yg bsa dianggep lalai gt. Halo 
@Kemdikdasmen
 ga mgkin lah smua kslahan dbebanin k guru d sekolah. Aplg mreka dah dpet tmbahan tugas bgiin MBG kan.",2025-02-08T03:37:48.000Z,positif
twitter,"Apa yg di harapkan dari lonte nyamar jadi guru joged² lalai dari tanggung jawab 

imagine lupa input data pasien dan pasien nya ga tertangani dan meninggal semua",2025-02-08T03:32:00.000Z,positif
twitter,"lu ga pernah skolah apa gmn? wajar lah marah krn murid ngusahain selama 3 tahun belajar buat ningkatin nilai nya dan itu ga gampang bro, mereka punya hak buat masuk di peluang itu, udh jelas guru nya lalai dan lo bilang di pihak guru? lu tolol brti",2025-02-08T03:28:40.000Z,positif
twitter,"Kirain cuma satu sekolah, ternyata banyak toh sekolah yg lalai administrasi. Dikira murid ga capek dan stress harus belajar lagi buat tes bpk/ibu guru?",2025-02-08T02:45:55.000Z,positif
twitter,dih? kalau gua jadi guru ya pasti ga bakal lalai kaya gini! tolol lu,2025-02-08T02:28:05.000Z,positif
twitter,huapakah ini salah satu akun guru yg lalai itu ,2025-02-08T02:20:31.000Z,positif
twitter,"Guru-guru : ""dasar genjet nih pemalas, klo kami lalai ya kalian inisatif sendiri dong daftar. Kami ini suci ga tercela, ngomongnya kok ga dijaga? Ditanya ibu kota Brazil aja jawabnya Santos kalian, harusnya kan Flamengo!""",2025-02-08T01:27:53.000Z,positif
twitter,"Peserta didik tak boleh lalai kerjakan Tugas, atribut sekolah, 3 tahun berjuang untuk eligible...

Kemudian Guru, Kepala sekolah Lalai input SNBP...

Mundur jadi guru dan Kepala sekolah.
Joget joget di tiktok saja Kelen !!!",2025-02-08T01:24:47.000Z,positif
twitter,"Kalo menurut saya, guru ini bukan lalai. Tapi pemalas dan tidak profesional.
Ga ada orang lupa akan sesuatu pekerjaan yg banyak, njelimet dan menyangkut kepentingan besar. Pasti ini awal mula nya si guru nunda2 kerjaan.. akhirnya mepet waktunya. Akhirnya begitu deh",2025-02-08T00:45:22.000Z,positif
twitter,"Wah, ini kalo serempak pada ga masukkin data siswa siswinya saya patut curiga sih 

Pake ngancem segala tu guru 
Yang lalai kalian weeii",2025-02-08T00:28:30.000Z,positif
twitter,kok bisa ada sekolah yg lalai finalisasi snbp? padahal dulu sekolahku bener bener yg mantau terus sampe guru bk nya sibuk mondar mandir,2025-02-07T22:55:33.000Z,positif
twitter,"Kejadiannya di Mempawah, Kalimantan barat. Klo di swasta, guru yg lalai mendaftarkan tsb, pasti dipecat. Tapi ini ASN, aturannya belibet utk sampai ke pemecatan. Jadi org tidak takut berbuat salah.",2025-02-07T10:11:20.000Z,negatif
twitter,"""Kalo emang lalai ya sudah""

Cara pikir lo gimana sih? Kok ya sudah sihh... Di tindak dong. Siapa yg di tindak? Guru nya, pemangku jabatannya, penanggung jawabnya. Muridnya? Mereka sudah menyelesaikan administrasi, menunaikan kewajibannya",2025-02-07T07:35:28.000Z,positif
twitter,depok seabsurd itu kah? guru sampai lalai proses SNBP para siswa? ck ck ck,2025-02-07T07:23:23.000Z,positif
twitter,"Bermanfaat, memotivasi murid tapi kabarnya ada juga guru yang lalai sehingga muridnya tak bisa ikut SNBP",2025-02-07T06:34:08.000Z,positif
twitter,"gini amat guru sekarang, guru yg lalai guru juga yg marah",2025-02-07T06:28:59.000Z,positif
twitter,guru kenapa banyak yang lalai ya sekarang? terutama perihal pendaftaran snbp yang telat dan berujung fatal kena di siswa siswi sekolah.,2025-02-07T03:57:33.000Z,positif
twitter,"Guru"" sekolah negeri dari SMK dan SMA pada kenapa sih bisa sampai lalai daftarin siswanya biar bisa ikut snbp,itu kalian selama ini kerjanya ngapain anjayy ",2025-02-07T02:34:09.000Z,positif
twitter,"banyak anak yg mati matian ngejer nilai dari semester 1 sampe 5 biar masuk eligible karena bersaingnya itu 1 angkatan. ini malah ga bisa ikut gara gara guru lalai. emg bener snbp blm tentu diterima, tapi sekarang kemungkinan blm tentu itu jadi ga mungkin diterima",2025-02-07T01:46:56.000Z,positif
twitter,"Belum tentu diterima kalau ikut SNBP. Bahkan kamu bisa langsung kerja sendiri setelah SMA yaitu jualan pulsa, dll. Intinya jgn jagain guru yang lalai, tapi berencanalah untuk masa depan sendiri, kedepannya kamu bagaimana, mau jadi apa, yuk semangat yuk!!",2025-02-07T00:00:47.000Z,negatif
twitter,"Terus 4-5 sekolah lain yg gagal apakah gurunya ngonten? 

Lalai kok di banyak sekolah terjadi. 

Administrasi bukan guru biasanya, tapi TU. 

Guru udah sibuk buat Silabus atau RPP, sertifikasi dll.. Siapa yg bikin sibuk, Dinas Pendidikan.",2025-02-06T23:49:50.000Z,positif
twitter,"Yes, dan juga bukan guru, administrasi biasanya TU. Salah alamat nantinya.. lagian lalai bisa di banyak sekolah, lalai apa sistemnya jelek",2025-02-06T23:41:13.000Z,positif
twitter,Minimal tuh wakasek di pecat dan semua guru disitu dimutasi dan di cabut tunjangannya selama 1 tahun karena pada lalai semua,2025-02-06T23:31:29.000Z,positif
twitter,"Sy paham maksudmu soal kepeduliaan ke siswa, tp klo misalkan dilaksanakan seleksi ulang bukan tidak mungkin tahun2 depan ada kejadian spti ini lagi,guru lalai, trus minta pertimbangan ke pusat, seleksi lagi atau perpanjangan waktu lagi gitu aja trus.",2025-02-06T22:32:41.000Z,positif
twitter,Sebagai guru maka saya mengundurkan diri karena lalai dan tidak capable dalam menangani hal tersebut alias gaptek,2025-02-06T22:19:11.000Z,positif
twitter,Guru bodoh dan lalai.. parah nih guru..,2025-02-06T21:57:09.000Z,positif
twitter,"Yang lalai seorang, yang tanggung jawab sekolahnya.
Beban emang.
Harusnya si guru menanggung sebagian dari biaya ganti rugi, itu baru tanggung jawab dia.",2025-02-06T21:26:23.000Z,positif
twitter,"Trending Tweet Di Malam Jumat Bahlil Vs Bahlul Keduanya Sama Sama Membagongkan,How Come Krn Guru Lalai Berakibat Bnyk Murid SMA Yg GAGAL SNBP Pdhl Bagi Mrk Adalah Golden Ticket &BANGGA Jika Bisa Masuk Univ Favorite Mrk. Tidak Cukup Ganti Rugi Materi Krn WAKTU&USIA TAK DPT MUNDUR",2025-02-06T17:47:32.000Z,positif
twitter,Guru lalai dg tugasnya.,2025-02-06T15:31:44.000Z,positif
